# Ebbetts Pass (462)
# California  SNOTEL Site - 8765 ft
# Daily Data for Period of Record
#
# (As of: Sun Feb 22 10:50:32 PST 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1978-10-01,0.0,0.0,,,,0.00
1978-10-02,0.0,0.0,,,,0.00
1978-10-03,0.0,0.0,,,,0.00
1978-10-04,0.0,0.0,,,,0.00
1978-10-05,0.0,0.0,,,,0.00
1978-10-06,0.0,0.0,,,,0.20
1978-10-07,0.0,0.2,,,,0.00
1978-10-08,0.0,0.2,,,,0.00
1978-10-09,0.0,0.2,,,,0.00
1978-10-10,0.0,0.2,,,,0.00
1978-10-11,0.0,0.2,,,,0.00
1978-10-12,0.0,0.2,,,,0.00
1978-10-13,0.0,0.2,,,,0.00
1978-10-14,0.0,0.2,,,,0.00
1978-10-15,0.0,0.2,,,,0.00
1978-10-16,0.0,0.2,,,,0.00
1978-10-17,0.0,0.2,,,,0.00
1978-10-18,0.0,0.2,,,,0.00
1978-10-19,0.0,0.2,,,,0.00
1978-10-20,0.0,0.2,,,,0.00
1978-10-21,0.0,0.2,,,,0.00
1978-10-22,0.0,0.2,,,,0.00
1978-10-23,0.0,0.2,,,,0.00
1978-10-24,0.0,0.2,,,,0.00
1978-10-25,0.0,0.2,,,,0.00
1978-10-26,0.0,0.2,,,,0.00
1978-10-27,0.0,0.2,,,,0.00
1978-10-28,0.0,0.2,,,,0.00
1978-10-29,0.0,0.2,,,,0.00
1978-10-30,0.0,0.2,,,,0.30
1978-10-31,0.6,0.5,,,,0.00
1978-11-01,0.5,0.5,,,,1.20
1978-11-02,1.5,1.7,,,,0.20
1978-11-03,1.6,1.9,,,,0.00
1978-11-04,1.6,1.9,,,,0.00
1978-11-05,1.6,1.9,,,,0.00
1978-11-06,1.6,1.9,,,,0.00
1978-11-07,1.6,1.9,,,,0.00
1978-11-08,1.6,1.9,,,,0.10
1978-11-09,1.7,2.0,,,,0.20
1978-11-10,1.8,2.2,,,,0.30
1978-11-11,2.0,2.5,,,,0.30
1978-11-12,2.1,2.8,,,,0.10
1978-11-13,2.2,2.9,,,,0.00
1978-11-14,2.2,2.9,,,,0.00
1978-11-15,2.8,2.9,,,,0.00
1978-11-16,2.8,2.9,,,,0.00
1978-11-17,2.8,2.9,,,,0.20
1978-11-18,2.4,3.1,,,,0.00
1978-11-19,2.4,3.1,,,,0.70
1978-11-20,2.9,3.8,,,,0.50
1978-11-21,3.3,4.3,,,,0.60
1978-11-22,3.7,4.9,,,,0.40
1978-11-23,4.0,5.3,,,,0.20
1978-11-24,4.1,5.5,,,,0.00
