# Mt Rose Ski Area (652)
# Nevada  SNOTEL Site - 8801 ft
# Daily Data for Period of Record
#
# (As of: Sun Feb 22 10:45:52 PST 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-06-06,75.9,70.5,,,,
1980-06-07,,,,,,
1980-06-08,,,32,32,32,
1980-06-09,37.2,70.5,32,32,32,0.00
1980-06-10,36.7,70.5,32,32,32,0.00
1980-06-11,34.7,70.5,32,32,32,0.00
1980-06-12,34.3,70.5,32,32,32,0.00
1980-06-13,33.9,70.5,32,32,32,0.00
1980-06-14,33.7,70.5,32,32,32,0.00
1980-06-15,32.8,70.5,32,32,32,0.00
1980-06-16,31.1,70.5,32,32,32,0.00
1980-06-17,29.3,70.5,32,32,32,0.00
1980-06-18,27.7,70.5,32,32,32,0.00
1980-06-19,26.2,70.5,32,32,32,0.00
1980-06-20,24.8,70.5,32,32,32,0.00
1980-06-21,23.3,70.5,32,32,32,0.00
1980-06-22,22.0,70.5,32,32,32,0.00
1980-06-23,20.6,70.5,32,32,32,0.00
1980-06-24,19.2,70.5,32,32,32,0.00
1980-06-25,17.6,70.5,32,32,32,0.00
1980-06-26,15.6,70.5,32,32,32,0.00
1980-06-27,12.9,70.5,32,32,32,0.00
1980-06-28,9.5,70.5,32,32,32,0.10
1980-06-29,4.7,70.6,32,32,32,0.00
1980-06-30,4.0,70.6,32,32,32,0.00
1980-07-01,4.0,70.6,32,32,32,0.00
1980-07-02,4.0,70.6,32,32,32,0.00
1980-07-03,3.8,70.6,32,32,32,0.00
1980-07-04,2.5,70.6,32,32,32,0.00
1980-07-05,2.4,70.6,32,32,32,0.00
1980-07-06,2.5,70.6,32,32,32,0.00
1980-07-07,2.6,70.6,32,32,32,0.10
1980-07-08,2.7,70.7,32,32,32,0.30
1980-07-09,0.0,71.0,32,32,32,0.00
