# Rubicon #2 (724)
# California  SNOTEL Site - 7689 ft
# Daily Data for Period of Record
#
# (As of: Sun Feb 22 10:48:54 PST 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-08-06,0.0,53.8,,,,0.00
1980-08-07,0.0,53.8,,,,0.00
1980-08-08,0.0,53.8,,,,0.00
1980-08-09,0.0,53.8,,,,0.10
1980-08-10,0.1,53.9,,,,
1980-08-11,0.0,53.8,,,,0.00
1980-08-12,0.0,53.8,,,,0.00
1980-08-13,0.0,53.8,,,,0.00
1980-08-14,0.0,53.8,,,,0.00
1980-08-15,0.0,53.8,,,,0.00
1980-08-16,0.0,53.8,,,,0.00
1980-08-17,0.1,53.8,,,,0.10
1980-08-18,0.1,53.9,,,,0.00
1980-08-19,0.1,53.9,,,,0.00
1980-08-20,0.1,53.9,,,,0.00
1980-08-21,0.1,53.9,,,,0.00
1980-08-22,0.1,53.9,,,,0.00
1980-08-23,0.1,53.9,,,,0.00
1980-08-24,0.1,53.9,,,,0.00
1980-08-25,0.1,53.9,,,,0.00
1980-08-26,0.1,53.9,,,,0.00
1980-08-27,0.1,53.9,,,,0.00
1980-08-28,0.1,53.9,,,,0.00
1980-08-29,0.1,53.9,,,,0.00
1980-08-30,0.1,53.9,,,,
1980-08-31,,,,,,
1980-09-01,0.1,53.9,,,,0.00
1980-09-02,0.1,53.9,,,,0.00
1980-09-03,0.1,53.9,,,,0.00
1980-09-04,0.1,53.9,,,,0.00
1980-09-05,0.0,53.9,,,,0.00
1980-09-06,0.1,53.9,,,,0.00
1980-09-07,0.1,53.9,,,,0.00
1980-09-08,0.1,53.9,,,,0.00
1980-09-09,0.1,53.9,,,,0.10
1980-09-10,0.1,54.0,,,,
1980-09-11,0.1,53.9,,,,0.10
1980-09-12,0.1,54.0,,,,
1980-09-13,0.1,53.9,,,,0.00
1980-09-14,0.1,53.9,,,,0.00
1980-09-15,0.1,53.9,,,,0.00
1980-09-16,0.1,53.9,,,,0.00
1980-09-17,0.1,53.9,,,,0.00
1980-09-18,0.1,53.9,,,,0.00
1980-09-19,0.1,53.9,,,,0.00
1980-09-20,0.1,53.9,,,,0.00
1980-09-21,0.1,53.9,,,,0.00
1980-09-22,0.1,53.9,,,,0.10
1980-09-23,0.1,54.0,,,,
1980-09-24,0.0,53.9,,,,0.00
1980-09-25,0.0,53.9,,,,0.00
1980-09-26,0.0,53.9,,,,0.00
1980-09-27,0.0,53.9,,,,0.00
1980-09-28,0.1,53.9,,,,0.00
