# Tahoe City Cross (809)
# California  SNOTEL Site - 6797 ft
# Daily Data for Period of Record
#
# (As of: Sun Feb 22 10:47:53 PST 2015)
#  **Provisional data, subject to revision**
#
Date,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in)
1980-06-04,0.0,50.4,,,,0.00
1980-06-05,0.0,50.4,,,,0.20
1980-06-06,0.0,50.6,,,,0.00
1980-06-07,0.0,50.6,,,,0.00
1980-06-08,0.0,50.6,,,,0.00
1980-06-09,0.0,50.6,,,,0.00
1980-06-10,,50.6,,,,0.00
1980-06-11,,50.6,,,,0.00
1980-06-12,,50.6,,,,0.30
1980-06-13,4.1,50.9,,,,0.00
1980-06-14,4.1,50.9,,,,0.00
1980-06-15,4.1,50.9,,,,0.00
1980-06-16,4.1,50.9,,,,0.00
1980-06-17,0.1,50.9,,,,0.00
1980-06-18,0.1,50.9,,,,0.00
1980-06-19,0.1,50.9,,,,0.00
1980-06-20,0.1,50.9,,,,0.00
1980-06-21,0.1,50.9,,,,0.00
1980-06-22,0.2,50.9,,,,0.00
1980-06-23,0.2,50.9,,,,0.00
1980-06-24,0.2,50.9,,,,0.00
1980-06-25,0.0,50.9,,,,0.00
1980-06-26,0.0,50.9,,,,0.00
1980-06-27,0.0,50.9,,,,0.00
1980-06-28,0.1,50.9,,,,0.00
1980-06-29,0.2,50.9,,,,0.00
1980-06-30,0.2,50.9,,,,0.00
1980-07-01,0.2,50.9,,,,0.10
1980-07-02,0.2,51.0,,,,0.20
1980-07-03,0.2,51.2,,,,0.00
1980-07-04,0.2,51.2,,,,0.00
1980-07-05,0.2,51.2,,,,0.00
1980-07-06,0.2,51.2,,,,0.00
1980-07-07,0.2,51.2,,,,0.00
1980-07-08,0.2,51.2,,,,0.00
1980-07-09,0.2,51.2,,,,0.00
1980-07-10,0.2,51.2,,,,0.00
1980-07-11,0.2,51.2,,,,0.00
1980-07-12,0.2,51.2,,,,0.00
1980-07-13,0.2,51.2,,,,0.00
1980-07-14,0.2,51.2,,,,0.00
1980-07-15,0.2,51.2,,,,0.00
